Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
A58 Re 125.2 Afrit 31 Rilland,Zeeland-West-Brabant,Rilland,Reimerswaal,51.424342,4.18863,Ja,,,,x,,,,x,
A15 Europaweg Tankstation UIT,Rotterdam,Rotterdam,Rotterdam,51.914319,4.188803,Ja,,x,,x,,,,x,
A15 Europaweg Tankstation IN,Rotterdam,Rotterdam,Rotterdam,51.911618,4.194259,Ja,,x,,x,,,,x,
A58 Re 125.2 Rilland,Zeeland-West-Brabant,Rilland,Reimerswaal,51.424167,4.195833,Ja,,,,x,,,,x,
N57 Li 3.4 HarmsenBrug,Rotterdam,Brielle,Brielle,51.900923,4.209815,Ja,,,,x,,,,x,
N57 Re 3.3 HarmsenBrug,Rotterdam,Brielle,Brielle,51.900923,4.209815,Ja,,x,,x,,,,x,
N656 Oud-Vossemeersedijk,Zeeland-West-Brabant,Oud-Vossemeer,Tholen,51.561667,4.210278,Ja,,,,x,,,,x,
A15 Re 36.2 Thomassentunnel,Rotterdam,Rotterdam,Rotterdam,51.900819,4.217247,Ja,,x,,x,,,,x,
07 Moezelweg x Saarweg HBR,Rotterdam,Rotterdam,Rotterdam,51.902628,4.217321,Ja,,x,,x,,,,x,
N289 27.4 Oude RW ri B op Zm,Zeeland-West-Brabant,Rilland,Reimerswaal,51.427618,4.217876,Ja,,,,x,,,,x,
N289 27.4 Oude RW ri Rilland,Zeeland-West-Brabant,Rilland,Reimerswaal,51.427618,4.217876,Ja,,,,x,,,,x,
07 Neckarweg HBR,Rotterdam,Rotterdam,Rotterdam,51.90003,4.22006,Ja,,x,,x,,,,x,
N213 Elsenwg x Middelbr.wg,Den Haag,Naaldwijk,Westland,51.99175,4.22274,Ja,,x,,,,,,,
N213 Elsenweg ri Maassluis,Den Haag,Naaldwijk,Westland,51.993056,4.222778,Ja,,x,,,,,,,
N218 Gr.Kruisweg x Kanaaldk,Rotterdam,Heenvliet,Nissewaard,51.8665,4.22648,Ja,,,,x,,,,x,
A15 Li 37.1 Calandbrug,Rotterdam,Botlek Rotterdam,Rotterdam,51.901526,4.230257,Ja,,x,,x,,,,x,
A15 Re 37.1 Calandbrug,Rotterdam,Botlek Rotterdam,Rotterdam,51.901526,4.230257,Ja,,x,,x,,,,x,
N218 Gr.Kruisweg x Verdouwhk,Rotterdam,Heenvliet,Nissewaard,51.86065,4.23963,Ja,,,,x,,,,x,
07 Botlekweg na truckpark HBR,Rotterdam,Rotterdam,Rotterdam,51.876145,4.261512,Ja,,x,,x,,,,x,
07 Oliphantweg HBR,Rotterdam,Rotterdam,Rotterdam,51.870513,4.26169,Ja,,x,,x,,,,x,
06 DH Houtrstwg ri Kranenbrgwg,Den Haag,Den Haag,Den Haag,52.092228,4.265046,Ja,,x,,,,,,,
06 DH Houtrstwg ri Pluvierstr.,Den Haag,Den Haag,Den Haag,52.092228,4.265046,Ja,,x,,,,,,,
06 DH Kranenbrgwg ri strand,Den Haag,Den Haag,Den Haag,52.092228,4.265046,Ja,,x,,,,,,,
06 DH Kranenbrgwg ri W.Duinwg,Den Haag,Den Haag,Den Haag,52.092228,4.265046,Ja,,x,,,,,,,
06 Den Haag Dr. Lelykade,Den Haag,Den Haag,Den Haag,52.099431,4.272145,Ja,,x,,,,,,,
06 DH Zeesluisweg ri Domino's,Den Haag,Den Haag,Den Haag,52.101693,4.272228,Ja,,x,,,,,,,
06 DH Zeesluisweg ri Strand,Den Haag,Den Haag,Den Haag,52.101693,4.272228,Ja,,x,,,,,,,
07 Welplaatweg HBR,Rotterdam,Rotterdam,Rotterdam,51.868264,4.278236,Ja,,x,,x,,,,x,
A20 Li 17.3 Maassluis,Rotterdam,Maasland,Midden-Delfland,51.923122,4.278481,Ja,,x,,x,,,,x,
A20 Re 17.3 Maassluis,Rotterdam,Maasland,Midden-Delfland,51.923122,4.278481,Ja,,x,,x,,,,x,
A 4 Re 248.1 Woensdrecht GO,Zeeland-West-Brabant,Woensdrecht,Woensdrecht,51.393611,4.290833,Ja,,,,x,,,,,
A 4 Re 248.1 Woensdrecht GO,Zeeland-West-Brabant,Woensdrecht,Woensdrecht,51.393611,4.290833,Ja,,x,,,,,,,
A 4 Li 248.1 Woensdrecht GO,Zeeland-West-Brabant,Woensdrecht,Woensdrecht,51.393611,4.291111,Ja,,,,x,,,,,
A 4 Li 248.1 Woensdrecht GO,Zeeland-West-Brabant,Woensdrecht,Woensdrecht,51.393611,4.291111,Ja,,x,,,,,,,
06 Den Haag Noordwal,Den Haag,Den Haag,Den Haag,52.079619,4.302666,Ja,,x,,,,,,,
06 Den Haag Torenstr ri kerk,Den Haag,Den Haag,Den Haag,52.079619,4.302666,Ja,,x,,,,,,,
06 Den Haag Noordwal ri Paleis,Den Haag,Den Haag,Den Haag,52.07964,4.303008,Ja,,x,,,,,,,
06 Den Haag Torenstr Elandstr,Den Haag,Den Haag,Den Haag,52.07964,4.303008,Ja,,x,,,,,,,
07 Botlekweg thv Exxon HBR,Rotterdam,Rotterdam,Rotterdam,51.8696,4.303333,Ja,,x,,x,,,,x,
06 Den Haag Prinsestraat,Den Haag,Den Haag,Den Haag,52.080099,4.30396,Ja,,x,,,,,,,
06 Den Haag Prinsestraat OVC,Den Haag,Den Haag,Den Haag,52.080099,4.30396,Ja,,x,,,,,,,
06 Den Haag Pieterstraat,Den Haag,Den Haag,Den Haag,52.079551,4.304061,Ja,,x,,,,,,,
N211 Wippolderln ri Delft,Den Haag,Wateringen,Westland,52.01465,4.30479,Ja,,x,,,,,,,
N211 Wippolderln ri NLDWK,Den Haag,Wateringen,Westland,52.014722,4.306389,Ja,,x,,,,,,,
N218 Li 1.5 Hartelbrug,Rotterdam,Botlek Rotterdam,Rotterdam,51.862067,4.30754,Ja,,,,x,,,,x,
N218 Re 1.5 Hartelbrug,Rotterdam,Botlek Rotterdam,Rotterdam,51.862067,4.30754,Ja,,,,x,,,,x,
06 Brauwweg x Alkemadelaan,Den Haag,'s-Gravenhage,'s-Gravenhage,52.108611,4.309167,Ja,,x,,,,,,,
07 Oude Maasweg HBR,Rotterdam,Rotterdam,Rotterdam,51.86989,4.311731,Ja,,x,,x,,,,x,
06 Brederodelaan x Beatrixlaan,Den Haag,Rijswijk,Rijswijk,52.032778,4.316667,Ja,,x,,,,,,,
06 Waals.weg x Alkemadelaan,Den Haag,'s-Gravenhage,'s-Gravenhage,52.103611,4.317778,Ja,,x,,,,,,,
06 Helfrichsngl x Beatrixlaan,Den Haag,Rijswijk,Rijswijk,52.0325,4.318056,Ja,,x,,,,,,,
06 Ruychrocklaan x Alkemadeln,Den Haag,'s-Gravenhage,'s-Gravenhage,52.101111,4.320556,Ja,,x,,,,,,,
A 4 Li 56.4 Westland,Den Haag,Schipluiden,Midden-Delfland,51.986069,4.327128,Ja,,x,,,,,,,
