Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-SB-118,Van Swindenstraat,52.10194,5.12479,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Locaties Oude Stadswerken: Van Swindenstraat
UTR-OOR-006,Ledig Erf - Tolsteegbrug,52.08136,5.124311,Vast,01/07/2020,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-VTH-233,Plompetorengracht,52.09511,5.123509,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-240,Vrouwjuttenstraat,52.08527,5.123489,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-230,Twijnstraat,52.08316,5.123447,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-SB-121,Baden Powelweg 103,52.07798,5.12327,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Vaartse Rijn
UTR-VTH-232,Van Asch van Wijckskade,52.09682,5.123239,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-231,Oudegracht,52.08167,5.123173,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-542,Janskerkhof / Drift / Nobelstraat,52.09322,5.12317,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-234,Janskerkhof,52.09370,5.122894,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-235,Voetiusstraat,52.09126,5.122539,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-545,Oudkerkhof / Korte Jansstraat,52.09207,5.12227,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-543,Janskerkhof / Boothstraat,52.09382,5.12207,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-237,Trans,52.08973,5.122019,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-SB-136,Vondellaan,52.07803,5.12195,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Vondelbrug
UTR-CM-538,Wijde Begijnestraat / Breedstraat,52.09552,5.12133,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-547,Voorstraat / Jansveld,52.09518,5.12099,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-544,Janskerkhof (plein),52.09381,5.12091,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-213,Noorderbrug / Noorderstraat,52.09738,5.12086,Vast,,,Gemeente Utrecht,,Handhaving,Milieuzone
UTR-OOR-010,Goylaan - Oud Wulvenplantsoen,52.06598,5.120839,Vast,01/07/2017,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
